Date,Description,Amount
2024-01-01,Spotify premium,149
2024-01-02,Water bill,591
2024-01-03,Petrol bunk,1847
2024-01-04,Jio broadband,1515
2024-01-05,Ola cab,1450
2024-01-06,Apollo pharmacy,623
2024-01-07,Petrol bunk,1051
2024-01-08,Restaurant bill,775
2024-01-09,BigBasket grocery,763
2024-01-10,BigBasket grocery,1993
2024-01-11,Water bill,947
2024-01-12,Bookmyshow ticket,1768
2024-01-13,Flipkart order,1412
2024-01-14,Amazon purchase,256
2024-01-15,Water bill,561
2024-01-16,Spotify premium,1913
2024-01-17,ATM withdrawal,270
2024-01-18,Zomato delivery,486
2024-01-19,Apollo pharmacy,1227
2024-01-20,Netflix subscription,726
2024-01-21,Ola cab,239
2024-01-22,Amazon purchase,967
2024-01-23,Myntra clothes,123
2024-01-24,Water bill,1612
2024-01-25,Uber ride,1574
2024-01-26,Zomato delivery,1804
2024-01-27,Restaurant bill,1735
2024-01-28,Zomato delivery,982
2024-01-29,Bookmyshow ticket,1031
2024-01-30,Medplus medicine,371
2024-01-31,Myntra clothes,1409
2024-02-01,Jio broadband,1786
2024-02-02,Medplus medicine,493
2024-02-03,Amazon purchase,935
2024-02-04,Myntra clothes,689
2024-02-05,Electricity bill,1295
2024-02-06,Myntra clothes,1847
2024-02-07,Myntra clothes,1200
2024-02-08,Petrol bunk,924
2024-02-09,Swiggy order,589
2024-02-10,Water bill,1011
2024-02-11,Restaurant bill,419
2024-02-12,Flipkart order,634
2024-02-13,Restaurant bill,968
2024-02-14,Amazon purchase,438
2024-02-15,ATM withdrawal,335
2024-02-16,Jio broadband,1163
2024-02-17,Electricity bill,1805
2024-02-18,Gym membership,975
2024-02-19,Netflix subscription,735
